"","numero","data_autuacao","data_baixa","tem_rito_art_12","em_tramitacao","resultado"
"326",644,2020-01-08,2024-03-11,"Não","Não","Improcedente"
"327",645,2020-01-13,2020-04-30,"Não","Não","Sem mérito"
"328",646,2020-01-24,2022-08-16,"Não","Não","Sem mérito"
"329",647,2020-01-23,2022-03-15,"Sim","Não","Sem mérito"
"330",648,2020-02-03,2021-10-04,"Sim","Não","Sem mérito"
"331",649,2020-02-05,2022-03-29,"Não","Não","Sem mérito"
"332",650,2020-02-06,2021-02-12,"Não","Não","Sem mérito"
"333",651,2020-02-10,2022-11-09,"Não","Não","Procedente"
"334",652,2020-02-10,2020-03-25,"Não","Não","Sem mérito"
"335",653,2020-02-14,2020-05-04,"Não","Não","Sem mérito"
"336",654,2020-02-20,2020-05-15,"Não","Não","Sem mérito"
"337",655,2020-03-03,2020-11-25,"Não","Não","Sem mérito"
"338",656,2020-03-03,2022-05-25,"Não","Não","Sem mérito"
"339",657,2020-03-08,NA,"Não","Sim","Sem julgamento"
"340",658,2020-03-09,2022-05-25,"Não","Não","Sem mérito"
"341",659,2020-03-23,2022-05-17,"Não","Não","Prejudicado"
"342",660,2020-03-23,2020-04-30,"Não","Não","Sem mérito"
"343",661,2020-03-23,2021-09-28,"Não","Não","Procedente em parte"
"344",662,2020-03-24,2022-06-21,"Não","Não","Sem mérito"
"345",663,2020-03-24,2021-09-30,"Não","Não","Procedente em parte"
"346",664,2020-03-26,2021-05-13,"Não","Não","Procedente"
"347",665,2020-03-26,2022-06-27,"Sim","Não","Prejudicado"
"348",666,2020-03-26,2020-06-01,"Não","Não","Sem mérito"
"349",667,2020-03-27,NA,"Não","Sim","Sem julgamento"
"350",668,2020-03-30,2020-06-02,"Não","Não","Sem mérito"
"351",669,2020-03-30,2020-06-03,"Não","Não","Sem mérito"
"352",670,2020-03-30,2024-06-10,"Não","Não","Procedente"
"353",671,2020-03-31,2020-08-20,"Não","Não","Sem mérito"
"354",672,2020-04-01,2020-11-13,"Não","Não","Procedente em parte"
"355",673,2020-04-02,2022-05-02,"Sim","Não","Sem mérito"
"356",674,2020-04-13,2022-04-05,"Não","Não","Prejudicado"
"357",675,2020-04-14,2020-05-15,"Não","Não","Sem mérito"
"358",676,2020-04-20,2020-11-18,"Não","Não","Sem mérito"
"359",677,2020-04-22,NA,"Não","Sim","Sem julgamento"
